recording,date,time,temperature,humidity,pressure,lux,oxidizing,reducing,nh3,noise_amp,pm1_0,pm2_5,pm_10
recording_3,07/25/22,16:49:23,97.1867126637863,37.5070602306217,999.623024722997,2262.13155,562.410329985653,152769.328532091,1506.27224458837,24.7563142134578,4,4,8
recording_1,07/25/22,17:42:59,104.599047293662,33.1248020053349,999.859639236607,2500.6015,712.123827608033,197302.492932408,1613.84228678319,15.0338753989855,5,6,6
recording_5,07/25/22,16:43:43,99.3847597610008,35.2681430490402,999.080362214033,1456.21,1232.44875442773,485836.173721826,30585.2587191426,18.3227212253109,3,4,4
recording_5,07/25/22,16:43:44,99.4442368532019,35.1158606833324,999.076200124651,1377.7214,1242.42072249971,485538.461538462,31205.8042824279,19.4224508247896,3,4,4
recording_5,07/25/22,16:43:46,93.4854133146147,34.9578273028265,999.072604520849,1384.3389,1252.39616613419,484944.017563118,31655.638562789,18.5867211912165,3,4,4
recording_5,07/25/22,16:43:48,104.516295667636,34.8786079980577,999.069817595947,1499.0979,1262.3750871485,485241.076331686,32078.6416443253,15.2026705430795,3,4,4
recording_5,07/25/22,16:43:49,99.5237303090692,34.8543247245893,999.069174409738,1575.48525,1272.35748736126,487929.3598234,32593.2584269663,20.1156053710528,4,5,5
recording_5,07/25/22,16:43:51,99.5374558018547,34.7691639891531,999.078535492015,1670.3366,1282.34336859235,490341.463414634,33202.6427731016,19.3233180413436,4,5,5
